id,teks,stem,cluster,cluster_predict,jarak_euclid,tanggal
2,Selamat Nomor Anda Resmi Mendapatkan Hadiah Ke-2 Cek Tunai 175 Juta Rupiah Kode ID pemenang Untuk Info Hadiah Klik ,null,1,-1,-1,2021/03/20
3,"Assalamualaikum, (BUTUH M0DAL USAHA Dan Lain Lain) MINAT TELEPON ATAU CHAT WHATSAPP: ",null,1,-1,-1,2021/03/20
4,"Pelanggan 085712420668, +1000 KOIN PULSA mu Masih Belum Diambil? Hubungi *858*22# utk Ambil. Bisa Ditukar Pulsa, Sayang Jangan Sampai Hangus. Hubungi *858*22# Sekarang!",null,1,-1,-1,2021/03/20
5,Assalamualaikum butuh pinjaman dana tanpa agunan? 5 juta sampai 500 juta Untuk info chat Whatsapp,null,1,-1,-1,2021/03/20
6,Selamat Anda Mendapatkan Cek Tunai 125 juta rupiah dari LAZADA INDONESIA Dengan PIN Pemenang Untuk Info Klik: ,null,1,-1,-1,2021/03/20
7,Selamat Anda yang telah resmi terpilih sebagai pemenang dari SHOPEE INDONESIA Dengan Kode Pin Untuk info klik : ,null,1,-1,-1,2021/03/20
8,maaf mengganggu waktunya mba/mas kami menawarkan pinjaman berbasis online dengan bunga 02% jika minat Whatsapp ,null,1,-1,-1,2021/03/20
9,"Assalamu alaikum wr,wb. BAPAK/IBU Mohon maaf mengganggu waktunya, jika butu M0DAL Usaha Dan lain lain nya silahkan Chat kami ke WhatsApp :",null,1,-1,-1,2021/03/20
10,Selamat Nomor Anda Resmi Mendapatkan Hadiah Ke-2 Cek Tunai Rp.175 juta Kode ID pemenang Untuk Info Hadiah Klik ,null,1,-1,-1,2021/03/20
11,selamat simcard anda resmi terpilih sebagai pemenang ke 2 dari  PT.LEN INDUSTRI 4G Nomor pin untuk info click: ,null,1,-1,-1,2021/03/20
12,BUTUH MODAL buat usaha kami SIAP membantu dari AGEN PIN-OL aman TERPERCAYA WHATSAPP ,null,1,-1,-1,2021/03/20
13,"Situs ASIATARUHAN Cashback bola 7% Cashback casino 3% +roling 0,8% Rollingan Slot 0,8% Rollingan Poker, Domino 0,5% Whatsapp:",null,1,-1,-1,2021/03/20
14,SHOPEE Selamat Nomor Anda resmi Mendapatkan hadiah Ke-2 cek tunai Rp.175 juta KODE ID PEMENANG: Untuk info hadiah Klik. ,null,1,-1,-1,2021/03/20
15,UNDIAN RESMI!!! SELAMAT NO ANDA TERPILIH JADI PEMENANG KE 2 CEK TUNAI 175 JUTA DENGAN KODE PIN UNTUK INFO HADIAH KILIK: ,null,1,-1,-1,2021/03/20
16,bagi bapak/ibu yang lagi pusing untuk keperluan <UANG> kami siap membantu solusi keuangan anda info lebih lanjut  whatsapp terimakasi,null,1,-1,-1,2021/03/20
17,maaf saya kabari lewat sms apabila kontrakannya masih dilanjutkan pembayarannya lewat adik saya pak Fauzy nomor whatsapp soalnya sudah atas nama dia.,null,1,-1,-1,2021/03/20
18,penyampaian terakhir kepada anda sebagai pemenang ke- 2 shopee12.12 cek 175 juta pin:  untuk info Hadiah Klik;,null,1,-1,-1,2021/03/20
19,SELAMAT!!! Anda telah terpilih sebagai pemenang HADIAH AKHIR TAHUN MOBOINDOSAT Dengan Kode PIN Untuk info klik : ,null,1,-1,-1,2021/03/20
20,selamat nomor anda terpilih mendapatkan hadiah ke- 3 dari PT PERTAMINA dengan kode PIN Untuk info cek langsung di; ,null,1,-1,-1,2021/03/20
21,Selamat...Nomor anda terpilih Sebagai pemenang ke- 2 Rp.100 juta dari Gebyar Hadiah WhatsApp PIN PEMENANG Untuk info klik: ,null,1,-1,-1,2021/03/20
22,Selamat Nomor WhatsApp Anda Meraih Hadiah Cek 175 juta pin Silahkan Cek. pin anda klik. ,null,1,-1,-1,2021/03/20
23,Selamat nomor anda mendapat hadiah Rp175 juta dari shopee indonesia kode id pemenang info klik ,null,1,-1,-1,2021/03/20
24,Selamat !!! Nomor Anda Terpilih Sebagai Pemenang Jutawan SHOPEE Dari Program Undian Awal Tahun Cek Senilai Rp.175 juta PIN: Untuk Info Klik:,null,1,-1,-1,2021/03/20
25,"INFO.... kami dari (KSP sejahtra bersama) mengeluarkan pinjaman berbasis online mulai 5 juta sampai maksimal 500jta, bunga 2% whatsapp amanah...",null,1,-1,-1,2021/03/20
26,Program SHOPEE INDONESIA mengucapkan selamat Nomor Anda Mendapatkan hadiah ke- 2 / 175 juta rupiah ID pemenang info klik: ,null,1,-1,-1,2021/03/20
27,INFO RESMI Selamat Nomor anda Berhasil menang Hadiah Undian 1 Unit Mobil AVANZA VELOZ Periode ke 3 2019 Kode ID : Info klik: ,null,1,-1,-1,2021/03/20
28,"Assalamualaikum wr. wb Butuh DANA, buat modal kami menawarkan pinjaman berbasis ONLINE. TANPA AGUNAN dengan suku bunga 2% 5 juta - 500 juta rupiah Untuk Info Whatsapp : ",null,1,-1,-1,2021/03/20
29,Assalamualaikum yang terhormat Bapak dan Ibu kami dari PT BIMA PINJAMAN Berbasis ONLINE Minimal 5 juta - 500 juta pinjaman Bunga 2% Berminat chat Whatsapp : ,null,1,-1,-1,2021/03/20
30,Anda berkesempatan untuk mendapatkan BONUS PULSA 25 ribu TANPA DIUNDI. Segera cek *123*603*1# dan pilih 1 untuk ambil PULSA GRATIS nya sekarang juga!,null,1,-1,-1,2021/03/20
31,"Selamat!!! Nomor Whatsapp Anda mendapat hadiah ke 2 dari Program Undian PT. WhatsApp Indonesia, Kode PIN. Info klik: ",null,1,-1,-1,2021/03/20
32,Assalamualaikum Selamat Pagi Kami Menawarkan Pinjaman ONLINE Tanpa Anggunan Bunga 2% tahun minimal 5juta - 500juta Chat Whatsapp : ,null,1,-1,-1,2021/03/20
33,"Saya Ibu Gussari, Mau mendapat Uang Ghaib seperti Saya? Kunjungi : Nyata & Terbukti.!!!",null,1,-1,-1,2021/03/20
34,"085712420668 Jangan isi pulsa dulu! Ada PULSA 25 ribu untuk Anda. Segera cek *123*603*1*1#. Jika tidak, bonus PULSA 25 ribu Anda akan HANGUS (berlangganan) ",null,1,-1,-1,2021/03/20
35,"konsumen shopee Anda terpilih, dapat Cek 125 juta Dari undian Shopee kode pin anda Info klik ",null,1,-1,-1,2021/03/20
